Title,description,authors,image,previewLink,publisher,publishedDate,infoLink,categories,ratingsCount,Id,Price,User_id,profileName,review/helpfulness,review/score,review/time,review/summary,review/text
The President's Assassin,"In 48 hours, the U.S. President will be history. ""Haig...never fail[s] to keep us on our toes."" - Booklist It looked like a mass execution: six people, systematically shot and killed in a private Washington mansion. One of the targets happened to be the White House Chief of Staff. But that wasn't the reason Sean Drummond was called in on the case. Newly enlisted in a CIA cell called the Office of Special Projects, the former Army lawyer was informed that the murders were just a warning. The killer had left a note: ""You can't stop us. There will be others, and the President will be history in the next two days."" The clock is ticking. The hunt begins for the ultimate killer-for-hire-a brilliant, coldhearted professional with an insider's knowledge of Washington. For Sean Drummond, it's the greatest challenge of his career, a terrifying cat-and-mouse game with unthinkable consequences. If he fails, the world will never be the same-and one calculating killer will collect the $100 million bounty on the President's head. The story of one shocking conspiracy, two fateful days, and an earth-shattering death threat, THE PRESIDENT'S ASSASSIN is a gripping and chillingly real novel from one of the world's premier writers.",['Brian Haig'],http://books.google.com/books/content?id=R9GC0a3F4o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=R9GC0a3F4o8C&printsec=frontcover&dq=The+President%27s+Assassin&hl=&cd=1&source=gbs_api,Vision,2007-12-17,https://play.google.com/store/books/details?id=R9GC0a3F4o8C&source=gbs_api,['Fiction'],4.0,1415918031,,A232IOL4QP8EML,Gozfordpark,1/2,5.0,1109203200,I loved this book..,"A friend of mine gave me a copy of this book. I had never read any of the writers books before and so I found myself happily surprised when I could not put it down.I read the entire book in one night!The suspense aspect is so well written that it reads like non-fiction and the writers style of humor- sly, dry and witty is very funny indeed. I thoroughly enjoyed it. I highly recommend this and feel as though I've discovered the next Nelson De Mille."
The President's Assassin,"In 48 hours, the U.S. President will be history. ""Haig...never fail[s] to keep us on our toes."" - Booklist It looked like a mass execution: six people, systematically shot and killed in a private Washington mansion. One of the targets happened to be the White House Chief of Staff. But that wasn't the reason Sean Drummond was called in on the case. Newly enlisted in a CIA cell called the Office of Special Projects, the former Army lawyer was informed that the murders were just a warning. The killer had left a note: ""You can't stop us. There will be others, and the President will be history in the next two days."" The clock is ticking. The hunt begins for the ultimate killer-for-hire-a brilliant, coldhearted professional with an insider's knowledge of Washington. For Sean Drummond, it's the greatest challenge of his career, a terrifying cat-and-mouse game with unthinkable consequences. If he fails, the world will never be the same-and one calculating killer will collect the $100 million bounty on the President's head. The story of one shocking conspiracy, two fateful days, and an earth-shattering death threat, THE PRESIDENT'S ASSASSIN is a gripping and chillingly real novel from one of the world's premier writers.",['Brian Haig'],http://books.google.com/books/content?id=R9GC0a3F4o8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=R9GC0a3F4o8C&printsec=frontcover&dq=The+President%27s+Assassin&hl=&cd=1&source=gbs_api,Vision,2007-12-17,https://play.google.com/store/books/details?id=R9GC0a3F4o8C&source=gbs_api,['Fiction'],4.0,1415918031,,A12CE7UWS8Q9F1,R. Trzaska,3/4,2.0,1110931200,"interesting storyline, but style really poor","I fully realize that as a person who uses English as a second language I'm in a poor position to criticize someone else's style, but this book has really been poorly written. Dialogs are really unnatural (I recall a conversation about one of victims immediately after his death which was just too witty to be real) and some words are used too often. There are pages where the author starts using some expression and simply cannot quit it: in reality, actually, incidentally are a few examples. They pop up every other sentence.I am sticking to the book only because of the excellent narration by Scott Brick (this refers to the audio version)."
SOUNDER,"This powerful Newbery-winning classic tells the story of the great coon dog Sounder and his family. An African American boy and his family rarely have enough to eat. Each night, the boy's father takes their dog, Sounder, out to look for food. The man grows more desperate by the day. When food suddenly appears on the table one morning, it seems like a blessing. But the sheriff and his deputies are not far behind. The ever-loyal Sounder remains determined to help the family he loves as hard times bear down. This classic novel shows the courage, love, and faith that bind a family together despite the racism and inhumanity they face in the nineteenth-century deep South. Readers who enjoy timeless dog stories such as Old Yeller and Where the Red Fern Grows will find much to love in Sounder, even as they read through tears at times.",['William H. Armstrong'],http://books.google.com/books/content?id=6ayxDOOnSw4C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=6ayxDOOnSw4C&printsec=frontcover&dq=SOUNDER&hl=&cd=1&source=gbs_api,Harper Collins,2011-07-12,https://play.google.com/store/books/details?id=6ayxDOOnSw4C&source=gbs_api,['Juvenile Fiction'],43.0,B000PEC9LO,,,,1/8,1.0,1105056000,Very Boring and Dumb!,this book was not exciting at all! I started to read it because I thought that it was about the dog ON THE FRONT COVER! It was really about some person that gets his dog's ear shot off and he goes tring to find his dad in jail! It was DUMB. Don't ever read it! pretend that you like it or if you buy it yourself than your out of your mind!
Fag Hag (Plume Fiction),"Secretly in love with an unattainable gay artist named Peter, Natalie Stathis subtly poisons all Peter's romances with men until Lloyd Hood, a gay survivalist gun shop owner, enters Peter's life. Reprint.",['Robert Rodi'],http://books.google.com/books/content?id=r2exAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=r2exAAAAIAAJ&q=Fag+Hag+(Plume+Fiction)&dq=Fag+Hag+(Plume+Fiction)&hl=&cd=1&source=gbs_api,Plume,1993,http://books.google.com/books?id=r2exAAAAIAAJ&dq=Fag+Hag+(Plume+Fiction)&hl=&source=gbs_api,['Fiction'],2.0,0452269407,,A2UMQT1HJTEQJF,"Tanja L. Walker ""Tanja L. Walker""",7/7,3.0,948412800,Natalie: Get a life!,"I enjoyed this book, but I found myself frustrated with Natalie and her blind descent into madness. But then, maybe that's the point -- we are often the last to realize we've gone over the edge. Even so, Natalie's actions seemed too much over the top, even for a genre in which over the top is the norm. Still, it is well-written and funny, and I'd probably read other books by Rodi."
Jade Green : A Ghost Story,"While living with her uncle in a house haunted by the ghost of a young woman, recently orphaned Judith Sparrow wonders if her one small transgression has caused mysterious happenings.",['Phyllis Reynolds Naylor'],http://books.google.com/books/content?id=VW3dkJGJOKcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,http://books.google.com/books?id=VW3dkJGJOKcC&printsec=frontcover&dq=Jade+Green+:+A+Ghost+Story&hl=&cd=1&source=gbs_api,Simon and Schuster,2000-02-01,http://books.google.com/books?id=VW3dkJGJOKcC&dq=Jade+Green+:+A+Ghost+Story&hl=&source=gbs_api,['Juvenile Fiction'],18.0,068982002X,6.3,,,0/0,5.0,1068163200,If you like suspense read this book,"I think you should read this book. I liked this book because it had a lot of suspense. Why, because when you stopped, you thought of what might happen to the girl Judith. This book would have a lot of suspense until you stop and finish the book. So you should read it. I am sure you will like it."
Spy Handler: Memoir of a KGB Officer- The True Story of the Man Who Recruited Robert Hanssen and Aldrich Ames,,,,,,,,,,B000BHA3NQ,,A2JI81JG9YQB9,JGB,0/0,5.0,1330732800,Excellent Read,"This book gives one an insight into the workings of the ""evil empire's"" KGB intelligence apparatus.It is fascinating to discover that both major superpowers had and probably still have, very similar spy tactics.."
Such Times,,,,,,,,,,0140241434,,,,1/12,1.0,895017600,Forced &quot;wit&quot; sinks hackneyed AIDS plot,"Coe's characters are shallow and immature. They might annoy you even if they were well-written, but they are not. Coe has no ear for dialogue--no one in real life says &quot;honey&quot; in three consecutive sentences. Worse, he constantly digresses into asides which are neither as witty or insightful as he thought they were. A much better novel dealing with some of the same themes is Gary Indiana's &quot;Gone Tomorrow.&quot;"
Classic Roses (John MacRae Books),"This is a landmark work by the world’s foremost authority on roses. Both a definitive history and an essential manual for all growers and lovers of roses, it contains a wealth of expert information on buying, propagating, feeding, and pruning old roses, shrub roses, and climbers. It is superbly illustrated with more than 600 color photos.",['Peter Beales'],http://books.google.com/books/content?id=qgNK8darK9YC&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.nl/books?id=qgNK8darK9YC&dq=Classic+Roses+(John+MacRae+Books)&hl=&cd=1&source=gbs_api,Random House,1997,http://books.google.nl/books?id=qgNK8darK9YC&dq=Classic+Roses+(John+MacRae+Books)&hl=&source=gbs_api,['Gardening'],,1860463029,,A13OFOB1394G31,"E. A. Lovitt ""starmoth""",13/14,5.0,978134400,I never knew how many different kinds of roses there were,"Publishers, please bring &quot;Classic Roses&quot; by Peter Beales back into print! I bought a copy for a friend and now I can't bear to give it up. It has everything for the rosarian: thousands of enticing color photographs and descriptions (the author's own collection of roses numbers well over 2,000 species and varieties); extensive chapters on using roses in the landscape (even if your 'landscape' happens to be an apartment terrace), the care and cultivation of roses, the history of roses; and at the back of the encyclopediac text, there are extensive appendixes, indices, a glossary of terms, and suggestions for further reading.Peter Beales is also a pleasure to read--very British; very knowledgeable; and it is very obvious that he loves his subject. I have only two minor suggestions for &quot;Classic Roses&quot; if it is once again revised: include U.S.A. climate zones for the roses; include photographs of all (not most) of the roses (I'll bet the author wanted to do this and the publishers wouldn't let him).As fond as I am of my friend, &quot;Classic Roses&quot; and I are never going to part company."
Founder: Prevention and Cure the Natural Way,,['Jaime Jackson'],http://books.google.com/books/content?id=FzsLAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=FzsLAAAACAAJ&dq=Founder:+Prevention+and+Cure+the+Natural+Way&hl=&cd=1&source=gbs_api,Star Ridge Pub,2001-01-01,http://books.google.com/books?id=FzsLAAAACAAJ&dq=Founder:+Prevention+and+Cure+the+Natural+Way&hl=&source=gbs_api,['Pets'],,0965800733,15.41,A3094EPI56GKZ6,"Kristen E. Bogren ""Kristen Bogren""",1/1,5.0,1209600000,Great Book,I have many books on founder and laminitis- Having a pony that has had and got founder again it really helped me with the right path and makes total sense. Excited to see the results as she is already walking better now.
Barron's Anatomy Flash Cards,"A total of 300 cards show muscles, bones, and organs, and are color coded according to their general function in the human body.","['Ken Ashwell', 'Ken W. S. Ashwell']",http://books.google.com/books/content?id=NxJmjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,http://books.google.com/books?id=NxJmjwEACAAJ&dq=Barron%27s+Anatomy+Flash+Cards&hl=&cd=1&source=gbs_api,,2016,http://books.google.com/books?id=NxJmjwEACAAJ&dq=Barron%27s+Anatomy+Flash+Cards&hl=&source=gbs_api,['Human anatomy'],,0764178326,,AQ876C78KPK3X,April S. Maximo,30/41,1.0,1135209600,BARRON'S ANATOMY FLASHCARDS,"I just bought BARRON'S ANATOMY FLASHCARDS, ISBN 0764178326,and I am disappointed with the product, because on card number 11 (skeletal system) there are several mistakes. Card number 11 identifies the carpal bones erroneously (incorrect name and location). I contacted the publisher and they promised to correct the problem on the next printing. I thought the cards to be beautifully made, but as an Anatomy tutor, I can not recommend them since when you are first learning something it is extremely important to get it right. I did not bother to keep reading the rest of the cards, so I do not know how many mistakes there are in the entire deck. It is a shame that such a wonderfully crafted and useful tool contains mistakes like that. I will return it because I can not rely on the information given by the product."
